,city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
1770333,Meerle,Meerle,,51.4733,4.8036,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,148.9,3671.0,3671.0,4,Europe/Brussels,False,1056399752
1770334,Korbeek-Lo,Korbeek-Lo,Corbeek-Loo|Korbeek-Loo,50.8608,4.7656,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,226.1,3669.0,3669.0,3,Europe/Brussels,False,1056293246
1770335,Brugelette,Brugelette,,50.6,3.85,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,128.8,3658.0,3658.0,3,Europe/Brussels,False,1056373380
1770336,Lierneux,Lierneux,Lieurneux,50.2833,5.8,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,39.1,3601.0,3601.0,3,Europe/Brussels,False,1056076414
1770337,Saint-Léger,Saint-Leger,,49.6167,5.65,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,104.1,3592.0,3592.0,4,Europe/Brussels,True,1056000037
1770338,Bertogne,Bertogne,,50.0833,5.6667,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,39.0,3579.0,3579.0,3,Europe/Brussels,False,1056950869
1770339,Meer,Meer,,51.445,4.7364,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,92.5,3524.0,3524.0,4,Europe/Brussels,True,1056710076
1770340,Zepperen,Zepperen,,50.821,5.247,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,286.9,3515.0,3515.0,3,Europe/Brussels,False,1056234281
1770341,Poppel,Poppel,,51.4461,5.0403,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,124.5,3489.0,3489.0,3,Europe/Brussels,False,1056436159
1770342,Manhay,Manhay,Manhé,50.3,5.6667,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,27.7,3463.0,3463.0,4,Europe/Brussels,False,1056779773
1770343,Werchter,Werchter,,50.9667,4.7,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,438.2,3443.0,3443.0,3,Europe/Brussels,False,1056841816
1770344,Oostnieuwkerke,Oostnieuwkerke,,50.9333,3.05,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,318.2,3437.0,3437.0,3,Europe/Brussels,False,1056175523
1770345,Geer,Geer,,50.6667,5.1667,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,148.0,3430.0,3430.0,4,Europe/Brussels,False,1056561267
1770346,Flobecq,Flobecq,Vloesberg,50.7333,3.7333,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,151.9,3420.0,3420.0,4,Europe/Brussels,False,1056534910
1770347,Koolkerke,Koolkerke,Coolkerke,51.2417,3.2497,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,806.0,3361.0,3361.0,3,Europe/Brussels,False,1056642539
1770348,Crisnée,Crisnee,,50.7167,5.4,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,202.5,3352.0,3352.0,3,Europe/Brussels,False,1056781614
1770349,Saint-Symphorien,Saint-Symphorien,,50.4367,4.0125,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,467.1,3349.0,3349.0,3,Europe/Brussels,False,1056516509
1770350,Velzeke-Ruddershove,Velzeke-Ruddershove,Velsique-Ruddershove,50.8825,3.7828,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,250.6,3315.0,3315.0,3,Europe/Brussels,False,1056742206
1770351,Bièvre,Bievre,,49.9333,5.0167,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,29.0,3307.0,3307.0,4,Europe/Brussels,False,1056748028
